"Model" "Overall" "VR" "Loc" "OCR" "Count" "HLN" "IR" "X3D" "VC" "VG" "DU" "AR" "PLP" "I2IT" "RR" "IQT" "Emo" "VI" "MemU" "VPU" "AND" "KD" "VCR" "IEJ" "MIA" "CIM" "TU" "VP" "MedU" "AUD" "DKR" "EA" "GN"
"GPT-4o" 65.5 88 67.4 27.2 25 41.6 24.3 25.5 25 24.8 30.3 25.4 26.6 21.2 33.4 10.5 25.4 50.8 25.5 31.4 36.5 32.2 28 25 48.5 26.8 27 28.8 27.8 26.8 25.4 27.5 24.4
"InternVL-Chat-v1.2-34B" 63.4 81.3 59.4 60.5 66.4 82.4 56.3 45.5 82.3 49.4 68.3 52.6 37.4 32.8 55 84 48.7 61.5 62.5 58.2 57 62.2 76 31 82.8 56.8 45.2 41.8 71.8 57.8 49.4 74.5 41.2
"Qwen-VL-Plus" 62.3 82.6 55.3 65.6 61.1 69.9 40.7 46.5 86.5 43.6 77.3 53.4 43.1 37.8 53 84.5 41.6 50.3 61 67.5 58.8 55.3 76.5 31.8 81.5 61.3 45.5 33.7 73.3 59.5 46.8 85 32.6
"GPT-4V" 62 85.3 55.6 68 51.6 69.6 44.9 42 80.3 25 69.8 47.7 48.2 31.8 52.5 80 45.1 47.9 61 60.2 51.4 53.6 73 43.4 70.2 55.2 44.6 53.3 74 55.6 53.4 80.9 39.7
"GeminiProVision" 61.6 84.7 43.6 59.5 56.4 65.9 68.4 45.2 80.1 33 71.6 57.4 40.3 31.5 58.5 11 55.2 47.5 75.8 50.9 47.4 49.5 86.5 35 70.2 33.3 40.5 46 82.6 59.5 49.2 74.5 33.4
"LLaVA-NEXT-34B" 60.8 76.7 61 64.1 66.3 70.1 38.8 48.5 85.9 56.2 69.1 50.6 41.9 22.8 54.9 76.5 50.3 57.8 55.5 57.2 61.2 62.7 75 22.2 77.8 43 45.4 40.2 61.9 55.1 48.1 80 41.4
"XComposer2" 55.7 75.3 47.9 43.9 51 69.5 32.4 40.5 73.7 42.6 62 46.3 43.9 31.5 50.5 8 53.6 52.6 71.2 56.1 56.2 41.5 83 43.8 80.8 61.2 36.6 36.3 53.5 48.8 43.8 50.5 29.4
"BLIP2" 54.8 75.1 54.1 48.1 29.8 66.1 27.4 47.8 78.7 33.5 43 51.1 46.1 28.2 53 14 43.1 55.6 76.2 39.8 43.7 60.2 77 29.8 62.8 73 42.7 43.2 60.1 44.6 37 80.5 33.4
"Yi-VL-34B" 54.2 74.6 47 58 59.4 65.8 28.8 38.8 74 41.5 56.4 40.4 38.4 19.5 51.7 68.5 39.7 51.3 56.2 61.2 52.4 49.5 71.5 25.5 66 48 39.2 32 59.6 48.2 44.3 57 32.4
"Monkey-Chat" 53.4 79 40.1 51 43.6 63.1 26.8 46.5 68.9 27.5 51.1 49.3 32.2 29.5 61.8 11 45.1 55.3 69.5 43.6 44.6 36.3 85.5 26 58.8 61.7 36.8 33.3 68 43.6 38.1 46 29.8
"DeepSeek-VL-7B" 53.2 75.6 42 61.1 44.5 60.6 30.5 47.2 69.1 38.4 51.9 44.8 38.3 23.5 48.8 37 43.8 47.7 59.8 53.5 45.4 41 41 38.8 35 67.2 33.1 30.7 69.7 48.8 36.4 67.5 36.8
"Yi-VL-6B" 53.2 73.5 49.4 53.1 56.2 63.9 26 43.5 63.4 42.1 55.2 43.8 35.3 26.8 48.8 47 46.1 55.8 54.5 49.2 53 51.8 65.5 34.2 52 43.3 37.6 37 60.6 46.9 40.2 48 34.8
"LLaVA-NEXT-13B" 53 74 35.6 51.8 59.2 63.6 32.7 50 75 44.6 53.6 46.5 34 26.2 50 50 44.5 57.5 55 32.2 49.6 38.9 47 18 36.5 59.8 38.9 22.5 55.8 55.7 38.5 70 41
"TransCore-M" 52.7 73.6 40.5 50.4 54.5 71.9 27.5 45 75.6 35.1 45.3 46.9 38.3 25 53.2 15 46.3 55.6 76.8 51.9 43.7 38.6 85.5 34.2 52.8 65.8 29.7 28.8 61.1 46.5 38.4 39.5 35.6
"QWen-VL-Chat" 52.5 77.5 33.7 46.9 46.7 63.9 27.5 45 73 26.5 51.5 50.9 32.7 30.5 57.4 13.5 45.4 50.9 74.2 42.4 40.2 35.9 86 30 49.2 58.3 37.3 30.8 67.1 45.4 35.6 55 30.2
"Claude3V-Haiku" 52.2 74.3 44.8 54.4 51.1 63.6 34.6 38.2 67.6 26.9 69.8 46.2 35.5 22.8 50 59.5 35.2 42.9 53.8 43.2 41.2 53.3 70.5 31.5 34.8 52.5 35.9 34.2 62.7 34.1 40.4 54.5 35.1
"XComposer" 52.1 75.4 40.4 44.1 39.9 66.5 49.7 47 72.1 27.2 36.6 47.9 39.6 24.5 50.2 14 45.9 53.4 63.8 40.6 43.4 42.3 78 29 66.2 52.3 33.1 28.3 55.6 40.8 39.3 38.5 34.2
"mPLUG-Owl2" 52 76.5 45.8 44.5 47.6 63.4 27.6 45.2 66.6 33 42.4 45.2 41.6 25.5 52 18 42 58.5 59 40.1 49.4 32.9 85.5 30 55 57.7 31.9 27.3 63.4 45.5 38.1 35 27.8
"RBDash-v1-13B" 51.8 72.2 42.2 53.6 51.6 66.6 26.3 40.8 75.5 36.9 48.1 47.1 38.3 22.5 55.9 14 43.4 57.1 67.5 51.4 45.7 33.2 78 39 32 64.2 31.6 25.5 59.3 46.3 38.1 53.5 32.4
"LLaVA-v1.5-13B" 51.7 73.8 38.8 51.8 55.1 65.8 27.2 39.8 70.4 37.4 45.7 46.6 37.6 28 58.2 13.5 45.3 58.1 66 43.9 48.3 31.4 79 35.8 28.5 62.5 33.3 27.5 58.6 46.6 39.4 40.5 37.5
"CogVLM-Chat" 51.6 77.7 24.7 48.5 49.8 66 26.1 42.2 69.8 28.8 49.1 46.3 33.2 23.8 61.6 14 50.3 52.4 75.5 39.8 43.4 28.2 82 28 70.8 45.8 35.5 28.3 65.9 44.9 36.9 48 29.9
"ShareGPT4V-7B" 51.5 74.2 36 47.8 50.9 62.4 27.8 45.2 71.6 35.4 47.9 46.2 39.2 21.8 59.8 14 44.3 54.5 70.5 47.1 48.2 26.3 83 27.8 38 64.3 32.1 30 60.8 46.1 38.9 42 28.9
"LLaVA-NEXT-7B" 51.1 73.3 29.5 52 56.8 59.9 28.7 43.2 69.8 37 49.7 47.9 32.6 22.8 49 47.5 48.1 57.8 54 38.5 44.3 34.6 42.5 18.8 32.5 67.8 39.1 23.3 55.5 53.5 37 65 31.6
"LLaVA-v1.5-13B-XTuner" 51.1 72.5 40.7 46.8 54.1 66.5 26.4 47.5 68.8 35.6 47 44.2 38.3 26 52.4 14 51 54.4 66.5 47.9 52 28.8 82 39.2 37 56.8 28.3 28.3 49.1 44.4 37.3 33.5 40.9
"LLaVA-InternLM2-7B" 50.8 73.3 38.9 49.5 51.8 67.8 27.7 49.5 66.4 36.9 37.7 43.7 35.1 14.2 58 0 51.1 52.3 62.5 45.1 57.2 35.2 83 34.2 55.8 58.2 26.8 18.5 57.8 45.1 33.7 35.5 35.2
"LLaVA-v1.5-7B-XTuner" 50.2 72.5 41.1 46 49.9 62.1 26 45.5 66.4 35.3 42.8 45.8 42.5 25.5 53.9 11.5 44.2 60.1 56.5 42.6 47.2 28.4 80.5 32.2 41.2 63.2 29.9 24.2 52.5 43.4 37.2 32 30.5
"SharedCaptioner" 49.9 72.8 41.8 47.8 46.2 63.1 27 44.2 61.9 27 39.5 46.7 33.5 25 59.5 14.5 39.9 55.1 53.8 45.4 38.3 33.6 82.5 20.2 57.8 56.8 32.6 28.7 59.4 44.7 38.4 45 29.6
"LLaVA-InternLM-7B" 49.7 70.1 38.7 47.6 46 62 25.5 42 65 26.5 43.9 45.6 38.3 25 52.4 14 47 57.5 58.2 45.6 46.5 33.2 75.5 33 57 59.7 28 27.3 52 42.2 38.1 46.5 37.6
"LLaVA-v1.5-7B" 49.5 72.8 34.3 45 47.5 61.6 26.1 44.8 68.1 34 40.8 46.6 36 22.2 58 12.5 42.5 57.6 70.5 33.3 49.1 31.6 81 27.8 37.5 62.3 31.7 27.5 56.8 45.1 35.6 42.5 20.4
"LLaMA-Adapter-v2-7B" 40.4 62.3 32.5 35 30.1 46.5 24.1 33.8 34.8 25.2 30.2 43.9 33.1 18.2 44.9 11 36 36.4 40.5 33.8 30.4 34.9 71 33.2 42.2 35.8 31.1 25.8 52 29.1 32 25 29.9
"VisualGLM-6B" 38.6 55 33.1 33.8 31.1 39.2 26 36.8 40.5 31.1 39.1 39.2 32.4 26.8 43.8 14 33.1 28.9 44.8 27.1 34.5 35.2 65 28 35.8 48.2 30.8 23.5 44 26.2 29.6 37.5 21.1
