"Variable","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"Reason_Seg","0.151","-0.1","0.186","-0.052","0.423","0.435","0.111","0.146","-0.097","-0.054","0.18","0.195","0.014","0.065","0.086"
"Referring_Detection","-0.218","-0.044","0.207","-0.057","0.468","-0.029","0.1","0.178","-0.172","0.281","0.131","-0.023","-0.177","-0.031","0.063"
"Doc_VQA","-0.06","0.211","0.187","0.168","-0.055","0.167","0.14","0.314","-0.028","0.357","0.079","-0.173","-0.06","-0.118","-0.043"
"Visual_Document_Information_Extraction","-0.033","0.201","-0.02","0.073","-0.041","0.178","0.265","0.377","0.006","0.301","0.089","-0.041","-0.01","0.024","-0.191"
"Chart_to_Text","-0.05","-0.17","-0.031","0.101","-0.026","0.001","0.459","0.39","0.011","0.234","0.19","0.178","0.117","0.071","0.035"
"Chart_to_Table","0.005","0.123","0.351","0.278","-0.111","0.067","0.049","0.246","-0.066","0.249","0.075","0.005","0.125","0.14","0.068"
"Clock_Reading","-0.01","0.013","0.05","0.163","0.046","0.522","0.055","-0.125","0.029","0.07","-0.063","0.143","0.18","0.166","0.042"
"Chart_VQA","-0.028","0.197","0.065","0.006","-0.022","0.375","0.209","0.16","-0.098","0.299","0.211","-0.044","-0.015","-0.215","-0.197"
"Table_Structure_Recognition","-0.076","0.042","0.296","0.011","0.011","0.451","0.072","0.18","-0.284","-0.025","0.009","-0.222","0.335","0.011","-0.075"
"Gaze_Estimation","0.187","0.046","-0.088","0.031","0","0.029","-0.2","-0.056","-0.056","0.003","0.011","0.037","-0.173","0.06","-0.642"
"Image_based_Action_Recognition","-0.034","0.295","0.006","0.094","0.333","0.061","0.135","0.236","-0.061","-0.06","0.02","0.001","0.19","0.067","-0.121"
"General_Action_Recognition","0.213","0.428","0.087","0.239","0.003","0.082","-0.046","0.267","0.237","0.007","-0.146","0.13","-0.238","0.089","-0.035"
"Action_Quality_Assessment","0.022","-0.094","0.199","0.35","-0.152","-0.016","-0.112","0.235","-0.009","0.045","0.215","-0.06","0.074","0.06","0.325"
"Sign_Language_Recognition","0.205","-0.125","0.039","0.153","-0.001","0.39","0.039","0.082","0.348","0.072","0.206","0.11","-0.019","0.191","-0.003"
"Remote_Sensing_Object_Detection","0.074","-0.008","0.604","0.005","0.207","-0.06","0.033","0.125","-0.013","0.086","0.195","0.126","0.082","0.146","0.087"
"Rotated_Object_Detection","0.118","0.019","0.49","0.173","0.013","0.219","-0.013","0.016","0.096","0.114","-0.019","0.055","0.221","0.261","0.002"
"Small_Object_Detection","0.069","-0.045","0.61","0.115","0.192","-0.128","-0.002","0.027","0.123","0.123","-0.175","0.077","0.265","0.029","0.116"
"Camouflage_Object_Detection","-0.174","0.216","0.525","-0.089","0.27","0.15","-0.146","0.021","0.059","-0.054","-0.043","0.205","0.134","0.107","0.032"
"Salient_Object_Detection_RGBD","-0.311","-0.055","0.042","0.031","0.036","0.021","0.049","0.178","-0.116","-0.235","-0.148","-0.15","-0.021","0.688","0.114"
"Transparent_Object_Detection","0.008","-0.09","0.365","-0.153","0.537","0.099","0.023","-0.063","0.228","-0.039","0.12","0.238","0.084","0.058","0.172"
"Face_Detection","0.109","-0.029","0.526","0.143","-0.078","0.1","-0.014","0.301","0.06","0.001","0.008","0.151","0.097","0.116","0.091"
"Object_Detection","-0.007","0.125","0.613","0.073","0.069","0.068","-0.041","0.14","0.033","0.022","0.118","0.152","0.051","-0.011","0.116"
"Salient_Object_Detection_RGB","-0.155","0.089","0.354","0.117","0.362","0.053","0.103","-0.025","-0.279","0.186","0.141","0.004","-0.068","-0.019","0.193"
"Deepfake_Detection","0.057","0.357","-0.131","-0.081","0.118","0.392","-0.113","-0.073","-0.045","-0.299","-0.064","-0.227","-0.456","-0.06","-0.122"
"Weather_Recognition","0.132","0.575","0.08","0.155","-0.101","0.124","0.085","0.133","0.03","-0.03","0.035","0.091","0.107","0.084","-0.007"
"Season_Recognition","0.033","0.414","0.089","0.206","-0.095","0.04","0.244","-0.016","0.21","0.195","-0.096","0.028","0.185","0.107","-0.09"
"Gesture_Recognition","0.071","0.073","-0.086","0.224","0.103","0.482","-0.076","0.142","0.121","0.091","-0.142","0.064","0.308","0.04","-0.098"
"Muscial_Instrument_Recognition","-0.143","0.452","0.008","0.148","0.058","0.116","-0.033","0.202","0.35","-0.137","0.119","-0.08","0.098","-0.059","-0.049"
"Food_Recognition","0.119","0.351","-0.02","0.108","0.232","-0.072","0.152","0.133","0.233","0.054","-0.064","0.157","0.204","0.041","-0.002"
"Landmark_Recognition","0.051","0.467","-0.002","0.055","0.207","-0.043","0.207","0.024","0.28","-0.189","0.001","-0.06","0.085","-0.089","0.072"
"Scene_Recognition","-0.088","0.463","-0.106","0.132","0.144","0.074","0.376","0.115","-0.117","-0.165","0.003","0.007","0.057","0.065","0.073"
"Animal_Recognition","-0.119","0.266","-0.033","0.11","0.08","0.121","0.126","0.187","0.355","0.091","0.057","-0.036","0.242","0.054","0.042"
"Chemical_Apparatusn_Recognition","0.086","0.243","0.033","0.229","0.166","0.142","0.058","0.156","0.151","0.161","-0.008","0.109","0.126","-0.081","0.006"
"Rock_Recognition","0.157","0.349","-0.02","0.19","0.042","0.188","0.171","0.278","0.049","0.078","0.108","0.008","-0.018","-0.112","0.004"
"Fashion_Recognition","-0.082","0.351","0.041","-0.086","0.08","-0.062","0.205","0.078","0.428","0.167","-0.191","0.093","0.242","0.044","-0.034"
"Logo_Recognition","-0.006","0.231","-0.063","0.109","0.004","0.21","0.195","0.107","0.186","0.124","-0.009","0.145","0.308","-0.196","-0.256"
"Astronomical_Recognition","0.081","0.307","0.111","0.17","-0.121","0.133","-0.104","0.263","0.36","-0.033","0.124","-0.062","0.167","-0.033","-0.16"
"Painting_Recognition","0.082","0.38","-0.02","0.142","0.133","0.145","0.297","0.077","0.113","0.098","0.006","0.057","0.081","0.095","-0.135"
"Color_Recognition","-0.02","0.324","0.201","0.349","-0.245","0.279","0.015","0.129","-0.084","0.127","0.015","0.02","0.038","0.067","0.261"
"Plant_Recognition","-0.078","0.337","0.078","0.14","-0.081","0.068","0.143","0.098","0.454","0.095","-0.087","-0.048","0.212","-0.029","0.007"
"Shape_Recognition","-0.03","0.373","-0.013","0.099","0.018","0.01","0.137","0.131","0.303","0.06","0.117","0.102","0.286","-0.001","0.032"
"Profession_Recognition","0.122","0.38","-0.031","-0.09","0.329","-0.073","0.201","-0.202","0.208","-0.303","0.073","0.093","0.002","0.025","0.05"
"Building_Recognition","0.068","0.596","0.009","0.006","0.029","0.184","0.141","0.157","0.087","0.03","0.07","-0.033","0.056","-0.025","-0.006"
"Electronic_Object_Recognition","0.123","0.03","-0.123","0.062","0.624","-0.071","0.174","0.092","0.347","0.02","-0.094","0.067","0.028","-0.008","-0.111"
"Sports_Recognition","0.12","0.268","0.003","0.166","0.28","0.156","0.092","0.194","0.16","0.076","0.096","-0.047","0.121","0.165","-0.076"
"Disaster_Recognition","0.187","0.159","0.189","0.092","-0.112","0.249","0.384","0.159","0.065","0.261","0","-0.107","-0.032","-0.076","0.219"
"Celebrity_Recognition","-0.001","0.306","0.11","0.251","0.391","0.101","0.077","0.102","-0.037","-0.063","-0.149","0.033","-0.05","-0.035","0.164"
"Vehicle_Recognition","0.129","0.004","-0.063","-0.053","0.468","-0.053","0.349","0.102","0.247","-0.045","-0.034","0.16","-0.077","-0.101","-0.043"
"National_Flag_Recognition","-0.077","0.145","0.116","0.203","-0.06","0.038","-0.001","0.032","0.484","0.013","0.167","-0.203","0.268","0.161","-0.11"
"Abstract_Visual_Recognition","0.111","0.371","-0.111","0.29","0.075","0.075","0.033","0.281","0.171","0.006","0.128","0.067","0.123","-0.096","0.012"
"Animated_Character_Recognition","0.148","0.158","0.17","0.215","0.008","0.45","0.097","0.111","0.141","0.03","0.131","0.01","0.073","0.027","0.103"
"Texture_Material_Recognition","0.079","0.396","-0.031","0.155","0.172","-0.057","-0.236","0.142","0.125","0.033","-0.157","0.389","0.137","0.088","-0.109"
"Film_and_Television_Recognition","0.017","0.523","0.068","0.022","0.104","0.069","0.29","-0.041","0.149","0.141","-0.002","0.054","0.092","0.018","-0.037"
"Sculpture_Recognition","0.08","0.053","0.042","0.003","-0.037","-0.018","0.686","-0.044","0.244","-0.202","0.128","0.124","0.032","0.069","0.06"
"Age_Gender_Race_Recognition","-0.046","0.894","0.03","0.025","0.031","-0.201","-0.06","-0.08","-0.104","0.052","0.039","0.071","-0.094","-0.071","0.028"
"Weapon_Recognition","0.104","0.126","0.024","-0.115","0.02","-0.058","0.244","-0.341","0.309","-0.14","0.187","0.409","-0.051","0.112","0.088"
"Religious_Recognition","0.105","0.301","0.156","0.182","-0.029","0.137","0","0.215","0.264","0.249","0.104","-0.02","0.03","-0.046","-0.028"
"Waste_Recognition","-0.009","0.724","0.014","-0.024","-0.002","-0.027","0.112","0.087","0.052","0.081","-0.014","0.181","0.042","0.041","0.031"
"GUI_General","0.003","0.332","0.019","0.109","-0.002","0.092","-0.001","0.052","-0.127","0.024","0.595","0.355","-0.083","0.005","0.093"
"GUI_Google_APP","-0.147","0.067","0.293","0.119","-0.023","-0.057","0.064","0.018","-0.072","-0.039","-0.022","0.676","0.107","-0.059","-0.008"
"GUI_Web_Shopping","-0.08","0.042","0.133","0.054","0.103","-0.044","0.109","0.069","-0.016","-0.205","0.088","0.656","-0.168","-0.147","-0.004"
"GUI_Installation","-0.031","-0.003","-0.028","-0.01","-0.041","0.194","-0.033","0.021","-0.163","0.045","-0.111","0.726","0.1","-0.021","-0.039"
"Font_Recognition","-0.052","0.289","-0.037","-0.03","0.376","0.276","-0.211","0.137","-0.014","0.019","0.188","0.076","0.1","-0.198","0.308"
