"sample_id" "cluster_id" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33"
1 1 2.79230968564984 1.11419671372933 3.18728635837862 -2.70131835418679 -2.08187670752929 -1.49551043095714 -1.118324030556 -3.11876435867683 -3.25035550158917 -1.91395427291771 -1.5095512358218 -3.85332019701789 -1.69581139676243 -1.04630008310284 -3.80641008377463 -1.04563190409299 -4.13044220737692 -0.337848010850784 -3.26265362212041 -1.51301625767753 -1.55960386061457 -1.29961047193603 -2.63203574529825 -0.624338368576685 0.356999096737499 -2.66470566664815 -1.37106755540636 0.102727321148469 -3.44727417406708 -2.11885883949354 -2.27691212258015 -1.84826107021444 -0.939892772266169
2 1 1.82448137637846 2.28154993131187 2.08519418375317 -2.36591669467563 -2.06373907486289 -2.39597858723916 -0.72676274447165 -4.44409740405705 -2.29785665991065 -1.529780584511 -1.77380229398741 -3.98435950373337 -2.65998159246186 -0.639323980547863 -3.32407518974748 -1.09915830613602 -2.75955461590696 -0.92827992647327 -3.30200126237282 -1.74055196991481 -1.89564856926402 -0.772685347651775 -3.17406397722805 -1.16258290052065 0.183834820460835 -2.21517187193777 -0.84617839118741 -0.376788799495241 -3.10856234401593 -2.71128194074711 -2.9998100887586 -1.33438763106461 -1.5204384999907
3 1 2.28839466774518 2.70032389627448 2.54757354302344 -2.08325024077199 -2.31759047823078 -2.17267296961041 -0.583410992586088 -3.58025534674578 -2.84625839039729 -1.65444755334381 -2.49720813653833 -3.94991597405961 -2.33131024742776 -0.572496240266401 -4.0473131293406 -0.906303147975506 -2.6799876981953 -0.738766613389174 -3.43330205253986 -1.87159048110892 -1.65146982698563 -0.495268056447505 -3.75036809908708 -0.761399233339325 0.263068298441262 -2.54529925911199 -0.915342356916816 -1.10094665723603 -3.72037019569808 -1.30813361870377 -2.79727597460499 -1.71650398192423 -1.60111763874773
4 1 2.42326176455703 3.14443095374474 2.54436352228685 -2.15929280157432 -2.52710894950952 -2.46955297923839 -0.555227788486816 -3.75484781158228 -3.35768699352861 -1.64047778044581 -2.63819274133475 -4.50259959999055 -2.62510182134421 -0.822942337113061 -2.19441541646875 -1.27713637757406 -3.03705728890728 -0.426704557703698 -3.50809268078308 -1.82890517322331 -1.29962083374656 -1.65709172833051 -2.27699354144642 -0.15918754436208 0.145714891712956 -2.77009116617263 -1.34828407016796 0.0683780424188051 -3.01811997559165 -2.71954517964439 -2.05016770894298 -1.5906854469298 -1.42493312737503
5 1 2.30896462364701 1.42623053347483 2.23065220151044 -2.90733781711468 -3.10912551399467 -3.15600637608578 -0.306787556789931 -3.62143981780072 -2.99834923910408 -2.4547991829462 -2.28074443464114 -3.48089423534752 -2.40001306874174 -0.649340449054251 -4.62956276099043 -0.144920839071209 -3.49230404574728 -0.151440454164607 -3.24887323424688 -1.28732545132605 -2.4859422133533 -0.989786089055592 -3.03928769156835 -0.979819047967513 0.153416832093489 -2.86347245204254 -1.05469147439301 0.25379074469123 -3.40238218307363 -1.46807763743311 -2.4161435820129 -1.65466434657914 -1.04970816651771
6 1 2.05376820403077 1.53923354978153 2.02046073769288 -1.79504214094591 -2.58074938803891 -2.95678113433872 -0.278371810902794 -3.0092928186469 -2.37253570697889 -1.37795404009468 -1.45192115516526 -4.69140984490298 -2.27918588321758 -1.20982779428897 -2.27980647530365 -1.14252946092957 -2.78136071933303 0.327422971114442 -2.68585756106935 -1.80142383237431 -1.98837787895075 -0.525485177993572 -3.33975788356677 -0.620008559764923 -0.772002614056318 -2.75972163835202 -1.74228223052753 -0.914634090780599 -3.60879626066492 -2.0574429639019 -2.49148897792471 -1.57171075914479 -2.63540457476685
7 1 2.86259146079598 1.76175063521502 2.51861367568759 -3.3885648552376 -2.65273202696894 -2.57541396627463 -1.95946956602882 -4.18502061490016 -3.17019991807121 -0.828942792718183 -1.71094189636112 -2.83421916982106 -2.41063395888509 -0.829033261310636 -3.09594608880001 -0.0631396030787619 -3.1998259762428 0.126026080048665 -2.23884586616288 -1.41626403940744 -1.34678832076226 -0.93794770152048 -3.26078787241321 -1.26559060258709 -1.17334833086515 -2.25353743830669 -1.49293242802995 -0.840505615300028 -3.6483546483444 -1.97831296483379 -2.72269446974883 -1.80461295200257 -2.36555798206194
8 1 2.05950094286996 1.58763344155649 2.84758600709737 -2.14512870085233 -2.09466601144043 -4.12227826710348 0.11893120702297 -3.69015353190516 -3.54955758407957 -0.725106357441464 -2.00188731444501 -3.13642250776542 -2.5369386614463 -0.614718528304589 -3.67351717094406 -1.42993969926815 -2.21029172085949 -0.908620079495206 -2.66105018749465 -1.65956807015054 -2.03929652075088 -1.78687670428708 -3.32548211981907 -0.207003398541794 0.793819949594534 -2.59475962959947 -0.500856911677204 -0.658515786478094 -3.16427886270712 -2.2675786832298 -3.3733968184323 -1.74520229722152 -1.18407755858826
9 1 3.11604231901503 1.79178947102384 3.25825120517916 -2.83287827430993 -1.77196581532598 -3.08199679110398 -0.517064481549007 -2.28076043957008 -2.53906735570021 -0.266111344754439 -2.0258262978977 -3.68860780640765 -2.59517735009995 -0.978999944926347 -3.24421437352339 -0.281686687247809 -2.84650215231354 0.0159008235649838 -3.14763302110077 -1.42954650640809 -0.997026041149536 -1.5065464120903 -3.96148736916741 -0.196269267750407 -0.584110178356643 -2.94470678184717 -1.34184230120909 -0.771079402796211 -3.3072538413128 -2.97139643591188 -2.16852175568956 -1.54415348734566 -0.665065502668226
10 1 2.0754734125503 2.02197234875683 1.56525367155128 -3.53575940031453 -2.17576042875308 -2.25874742170298 -1.03024597756044 -4.29656483756547 -2.33051710170361 -1.17064260254252 -1.35905675200055 -4.62450443741531 -2.34254158787246 -0.987430098889115 -3.4057891503151 -1.00440857575094 -2.16820638030359 -0.739112791428723 -3.7713747681529 -0.999399170555323 -1.99701223510283 -1.22621165126755 -3.19322057994107 -0.524315923906137 0.561359592481954 -2.81050284748199 -0.842196233508411 -0.330737698792234 -3.62771419580273 -2.29219534681297 -3.55932435198706 -0.831749328554815 -1.62330804653989
